                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.35559,                0.31429,                0.88577,                0.95425,                0.80939,                0.87816,                0.79832,                0.47448,                0.32059,                0.89268,              0.0064809,              0.0064809,              0.0064809
                     94,                0.36206,                0.31719,                 0.8883,                0.95978,                0.80646,                0.87883,                0.79823,                0.47449,                0.32006,                0.89262,              0.0064422,              0.0064422,              0.0064422
                     95,                0.35531,                0.31253,                0.88621,                0.95408,                0.81125,                0.87877,                0.79846,                0.47439,                0.31978,                0.89256,              0.0064035,              0.0064035,              0.0064035
                     96,                0.35544,                0.31495,                0.88647,                0.95968,                0.80649,                  0.878,                0.79817,                0.47446,                0.31972,                0.89228,              0.0063648,              0.0063648,              0.0063648
                     97,                0.36005,                 0.3135,                 0.8861,                0.95922,                0.80635,                0.87823,                0.79758,                 0.4746,                0.31906,                0.89222,              0.0063262,              0.0063262,              0.0063262
                     98,                0.35256,                0.30929,                0.88317,                0.95459,                0.81048,                0.87851,                0.79787,                0.47442,                0.31944,                0.89212,              0.0062875,              0.0062875,              0.0062875
                     99,                0.35665,                0.31053,                0.88437,                0.95725,                0.80579,                0.87719,                0.79773,                0.47458,                0.31913,                0.89213,              0.0062488,              0.0062488,              0.0062488
                    100,                0.35517,                0.31108,                0.88677,                0.95792,                0.80673,                0.87807,                0.79827,                0.47435,                0.31831,                0.89184,              0.0062102,              0.0062102,              0.0062102
                    101,                0.35749,                0.31225,                0.88549,                0.95816,                0.80691,                0.87803,                0.79773,                0.47379,                0.31821,                0.89159,              0.0061715,              0.0061715,              0.0061715
                    102,                0.34911,                0.30712,                0.88364,                0.95702,                0.80901,                0.87818,                0.79879,                0.47353,                0.31807,                0.89142,              0.0061328,              0.0061328,              0.0061328
                    103,                0.35305,                0.31077,                0.88565,                0.95932,                0.80413,                0.87844,                0.79851,                0.47393,                0.31855,                 0.8917,              0.0060941,              0.0060941,              0.0060941
                    104,                  0.352,                  0.311,                0.88763,                0.95543,                0.80732,                0.87891,                0.79869,                0.47371,                0.31888,                0.89169,              0.0060555,              0.0060555,              0.0060555
                    105,                0.35678,                 0.3098,                0.88271,                0.95903,                0.80565,                0.87862,                0.79864,                0.47374,                0.31876,                 0.8918,              0.0060168,              0.0060168,              0.0060168
                    106,                0.34893,                0.30297,                 0.8808,                 0.9579,                0.80566,                 0.8787,                0.79833,                0.47374,                 0.3187,                0.89184,              0.0059781,              0.0059781,              0.0059781
                    107,                0.35337,                0.30762,                0.88414,                0.95825,                0.80535,                0.87899,                0.79884,                0.47392,                0.31836,                0.89191,              0.0059395,              0.0059395,              0.0059395
                    108,                0.35078,                0.30656,                0.88348,                0.95738,                0.80675,                0.87978,                0.79861,                0.47368,                0.31763,                 0.8919,              0.0059008,              0.0059008,              0.0059008
                    109,                0.34556,                0.30088,                0.87962,                0.95975,                0.80535,                0.87996,                0.79841,                0.47391,                0.31761,                0.89204,              0.0058621,              0.0058621,              0.0058621
                    110,                0.34989,                0.30333,                0.88194,                0.96015,                0.80529,                0.87953,                0.79904,                0.47405,                0.31754,                0.89223,              0.0058234,              0.0058234,              0.0058234
                    111,                 0.3529,                0.30674,                0.88371,                0.94997,                0.81045,                0.87936,                0.79917,                0.47364,                0.31686,                0.89203,              0.0057848,              0.0057848,              0.0057848
                    112,                0.34146,                0.29756,                0.87914,                0.96036,                0.80362,                0.87974,                0.79957,                0.47365,                0.31672,                0.89209,              0.0057461,              0.0057461,              0.0057461
                    113,                0.35201,                0.30378,                0.88313,                0.95994,                0.80354,                0.87992,                0.79904,                0.47368,                0.31628,                0.89199,              0.0057074,              0.0057074,              0.0057074
                    114,                0.35768,                0.31239,                0.88655,                0.95984,                0.80285,                0.87997,                0.79924,                0.47403,                 0.3162,                 0.8921,              0.0056688,              0.0056688,              0.0056688
                    115,                0.34795,                0.30266,                0.88349,                0.95971,                0.80353,                0.88028,                0.79916,                0.47396,                0.31632,                0.89216,              0.0056301,              0.0056301,              0.0056301
                    116,                0.34366,                0.29445,                0.87855,                0.95989,                0.80246,                0.87957,                0.79936,                0.47427,                0.31555,                0.89236,              0.0055914,              0.0055914,              0.0055914
                    117,                 0.3473,                 0.3016,                0.88135,                0.96026,                0.80324,                0.87964,                0.79899,                0.47437,                0.31565,                0.89225,              0.0055527,              0.0055527,              0.0055527
                    118,                0.34294,                0.29693,                0.88004,                0.95336,                0.80846,                0.88014,                0.79968,                0.47401,                0.31523,                0.89213,              0.0055141,              0.0055141,              0.0055141
                    119,                0.35139,                0.30351,                0.88203,                0.95335,                0.80821,                0.87987,                0.79969,                0.47434,                0.31504,                0.89243,              0.0054754,              0.0054754,              0.0054754
                    120,                0.34908,                0.29801,                0.88181,                0.95351,                0.80635,                0.87903,                0.79945,                0.47451,                0.31477,                0.89268,              0.0054367,              0.0054367,              0.0054367
